Time	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ	LeftBelt.Speed	Subject	Task	Stimulus.Content	Stimulus.Characteristic
0	-0.139315	0	0.711395	32.659012	453.925507	-3.310647	-322.92038	22.880333	-63.238804	0.15198	0	0.710577	-34.02235	424.53598	-1.198961	-301.665314	-43.0658	64.520927	0	5	1	0	0
0.003333	-0.139315	0	0.711395	32.659012	453.925507	-3.310647	-322.92038	22.880333	-63.238804	0.15198	0	0.710577	-34.02235	424.53598	-1.198961	-301.665314	-43.0658	64.520927	0	5	1	0	0
0.006667	-0.139315	0	0.711395	32.659012	453.925507	-3.310647	-322.92038	22.880333	-63.238804	0.15198	0	0.710577	-34.02235	424.53598	-1.198961	-301.665314	-43.0658	64.520927	0	5	1	0	0
0.01	-0.139209	0	0.71115	33.058289	454.154236	-3.186673	-322.971771	23.064505	-63.222458	0.152599	0	0.709892	-33.805611	424.513	-0.906468	-301.35849	-43.304504	64.780128	0	5	1	0	0
0.013333	-0.139209	0	0.71115	33.058289	454.154236	-3.186673	-322.971771	23.064505	-63.222458	0.152599	0	0.709892	-33.805611	424.513	-0.906468	-301.35849	-43.304504	64.780128	0	5	1	0	0
0.016667	-0.139209	0	0.71115	33.058289	454.154236	-3.186673	-322.971771	23.064505	-63.222458	0.152599	0	0.709892	-33.805611	424.513	-0.906468	-301.35849	-43.304504	64.780128	0	5	1	0	0
0.02	-0.138805	0	0.711402	33.376045	453.521332	-3.154746	-322.635986	23.159531	-62.951183	0.15362	0	0.708405	-33.373425	424.976501	-0.553532	-301.055573	-43.211739	65.284897	0	5	1	0	0
0.023333	-0.138805	0	0.711402	33.376045	453.521332	-3.154746	-322.635986	23.159531	-62.951183	0.15362	0	0.708405	-33.373425	424.976501	-0.553532	-301.055573	-43.211739	65.284897	0	5	1	0	0
0.026667	-0.138805	0	0.711402	33.376045	453.521332	-3.154746	-322.635986	23.159531	-62.951183	0.15362	0	0.708405	-33.373425	424.976501	-0.553532	-301.055573	-43.211739	65.284897	0	5	1	0	0
0.03	-0.138788	0	0.711559	32.965893	452.799927	-3.047184	-322.193909	23.109547	-62.843021	0.154059	0	0.707845	-33.471863	424.834564	-0.457261	-300.716919	-43.25885	65.449684	0	5	1	0	0
0.033333	-0.138788	0	0.711559	32.965893	452.799927	-3.047184	-322.193909	23.109547	-62.843021	0.154059	0	0.707845	-33.471863	424.834564	-0.457261	-300.716919	-43.25885	65.449684	0	5	1	0	0
0.036667	-0.138788	0	0.711559	32.965893	452.799927	-3.047184	-322.193909	23.109547	-62.843021	0.154059	0	0.707845	-33.471863	424.834564	-0.457261	-300.716919	-43.25885	65.449684	0	5	1	0	0
0.04	-0.138904	0	0.711282	32.496449	452.337646	-3.017868	-321.739655	23.062687	-62.831585	0.15388	0	0.7084	-33.411716	423.812775	-0.31295	-300.229004	-43.417397	65.216125	0	5	1	0	0
0.043333	-0.138904	0	0.711282	32.496449	452.337646	-3.017868	-321.739655	23.062687	-62.831585	0.15388	0	0.7084	-33.411716	423.812775	-0.31295	-300.229004	-43.417397	65.216125	0	5	1	0	0
0.046667	-0.138904	0	0.711282	32.496449	452.337646	-3.017868	-321.739655	23.062687	-62.831585	0.15388	0	0.7084	-33.411716	423.812775	-0.31295	-300.229004	-43.417397	65.216125	0	5	1	0	0
