Time,FP1.CopX,FP1.CopY,FP1.CopZ,FP1.ForX,FP1.ForY,FP1.ForZ,FP1.MomX,FP1.MomY,FP1.MomZ,FP2.CopX,FP2.CopY,FP2.CopZ,FP2.ForX,FP2.ForY,FP2.ForZ,FP2.MomX,FP2.MomY,FP2.MomZ,LeftBelt.Speed,Subject,Task,Stimulus.Content,Stimulus.Characteristic
0,-0.131764,0,0.154102,34.143326,480.437775,-0.830285,-74.036583,6.027438,-63.304474,0.128221,0,0.156734,-26.94816,402.179291,-2.210712,-63.035099,-13.174355,51.567993,0,5,2,0,0
0.003333,-0.131764,0,0.154102,34.143326,480.437775,-0.830285,-74.036583,6.027438,-63.304474,0.128221,0,0.156734,-26.94816,402.179291,-2.210712,-63.035099,-13.174355,51.567993,0,5,2,0,0
0.006667,-0.131764,0,0.154102,34.143326,480.437775,-0.830285,-74.036583,6.027438,-63.304474,0.128221,0,0.156734,-26.94816,402.179291,-2.210712,-63.035099,-13.174355,51.567993,0,5,2,0,0
0.01,-0.13154,0,0.153257,34.240185,477.131348,-0.596495,-73.123787,6.126421,-62.761646,0.128086,0,0.156186,-26.783062,404.529297,-2.306649,-63.181812,-13.200254,51.814358,0,5,2,0,0
0.013333,-0.13154,0,0.153257,34.240185,477.131348,-0.596495,-73.123787,6.126421,-62.761646,0.128086,0,0.156186,-26.783062,404.529297,-2.306649,-63.181812,-13.200254,51.814358,0,5,2,0,0
0.016667,-0.13154,0,0.153257,34.240185,477.131348,-0.596495,-73.123787,6.126421,-62.761646,0.128086,0,0.156186,-26.783062,404.529297,-2.306649,-63.181812,-13.200254,51.814358,0,5,2,0,0
0.02,-0.131573,0,0.153103,33.285164,474.20224,-0.462383,-72.601761,5.892757,-62.392384,0.12794,0,0.156869,-27.460175,407.884644,-2.750033,-63.984604,-13.376289,52.184872,0,5,2,0,0
0.023333,-0.131573,0,0.153103,33.285164,474.20224,-0.462383,-72.601761,5.892757,-62.392384,0.12794,0,0.156869,-27.460175,407.884644,-2.750033,-63.984604,-13.376289,52.184872,0,5,2,0,0
0.026667,-0.131573,0,0.153103,33.285164,474.20224,-0.462383,-72.601761,5.892757,-62.392384,0.12794,0,0.156869,-27.460175,407.884644,-2.750033,-63.984604,-13.376289,52.184872,0,5,2,0,0
0.03,-0.131981,0,0.153744,32.344372,471.869354,-0.541322,-72.547234,5.706145,-62.277607,0.127879,0,0.157867,-28.311922,411.086884,-3.00063,-64.897003,-13.57254,52.569271,0,5,2,0,0
0.033333,-0.131981,0,0.153744,32.344372,471.869354,-0.541322,-72.547234,5.706145,-62.277607,0.127879,0,0.157867,-28.311922,411.086884,-3.00063,-64.897003,-13.57254,52.569271,0,5,2,0,0
0.036667,-0.131981,0,0.153744,32.344372,471.869354,-0.541322,-72.547234,5.706145,-62.277607,0.127879,0,0.157867,-28.311922,411.086884,-3.00063,-64.897003,-13.57254,52.569271,0,5,2,0,0
0.04,-0.131901,0,0.153753,32.08884,469.212311,-0.379755,-72.142601,5.775545,-61.88969,0.128086,0,0.157867,-28.270269,414.379578,-3.207984,-65.416939,-13.552915,53.076336,0,5,2,0,0
0.043333,-0.131901,0,0.153753,32.08884,469.212311,-0.379755,-72.142601,5.775545,-61.88969,0.128086,0,0.157867,-28.270269,414.379578,-3.207984,-65.416939,-13.552915,53.076336,0,5,2,0,0
